16, 256, 1654250
16, 512, 2082322
16, 1024, 1718763
16, 2048, 1667341
16, 4096, 1670289
16, 8192, 1952980
16, 16384, 2148991
16, 32768, 1942047
16, 65536, 2135900
16, 131072, 5689141
16, 262144, 9703571
16, 524288, 10538393
16, 1048576, 10555384
16, 2097152, 10445024
16, 4194304, 10548430
16, 8388608, 10356275
16, 16777216, 10423429
16, 33554432, 10741445
32, 256, 1714838
32, 512, 1666158
32, 1024, 1665900
32, 2048, 1756202
32, 4096, 1668216
32, 8192, 1910005
32, 16384, 2042642
32, 32768, 2049471
32, 65536, 2063957
32, 131072, 4887653
32, 262144, 10025493
32, 524288, 10888711
32, 1048576, 11029603
32, 2097152, 11187577
32, 4194304, 10982093
32, 8388608, 11071227
32, 16777216, 10938873
32, 33554432, 11244209
64, 256, 1690244
64, 512, 1709718
64, 1024, 1708115
64, 2048, 1669909
64, 4096, 1695755
64, 8192, 1982118
64, 16384, 2049110
64, 32768, 1986446
64, 65536, 2114011
64, 131072, 3933711
64, 262144, 10739246
64, 524288, 12288217
64, 1048576, 12395773
64, 2097152, 12160129
64, 4194304, 12221885
64, 8388608, 12229279
64, 16777216, 12285657
64, 33554432, 12273095
128, 256, 1672627
128, 512, 1648027
128, 1024, 1694681
128, 2048, 1716301
128, 4096, 1650776
128, 8192, 2009290
128, 16384, 2660108
128, 32768, 3052190
128, 65536, 2968702
128, 131072, 5419261
128, 262144, 19978349
128, 524288, 25705825
128, 1048576, 27161849
128, 2097152, 27432821
128, 4194304, 27336417
128, 8388608, 27167471
128, 16777216, 27191883
128, 33554432, 28773579
256, 256, 1672532
256, 512, 1669880
256, 1024, 1704868
256, 2048, 1726352
256, 4096, 1642686
256, 8192, 2079614
256, 16384, 2712826
256, 32768, 2876486
256, 65536, 2962751
256, 131072, 5932039
256, 262144, 19382402
256, 524288, 24394063
256, 1048576, 27072811
256, 2097152, 26956249
256, 4194304, 27201385
256, 8388608, 27046645
256, 16777216, 27324711
256, 33554432, 27206293
