1000000, 2950744
4000000, 11935970
8000000, 31230890
16000000, 61523884
24000000, 98161578
32000000, 122992278
48000000, 185925501
64000000, 250788398
80000000, 322014904
100000000, 386040128
120000000, 460971954
140000000, 549952896
160000000, 636365541
180000000, 691388920
190000000, 737929270
195000000, 772575040
200000000, 767398140
210000000, 812076044
220000000, 862000028
240000000, 912146394
270000000, 1064142186
300000000, 1142091926
350000000, 1397982102
400000000, 1600666972
450000000, 3415693997
500000000, 529147287
550000000, 1491889566
600000000, 2291367362
650000000, 3152773586
700000000, 3986980735
